Original;ger;spa;fra;por-BR;ita;Occurrences
Origin of gross weight;Quelle des Bruttogewichts;Origen de peso bruto;Origine du poids brut;Origem do peso bruto;Origine del peso lordo;ADVISEDLU00012 IBDLUACK00007 OBDLUACK00008 SHIPMENTLUACK00003
Outbound delivery block OG;Outbound delivery block OG;Outbound delivery block OG;Outbound delivery block OG;Outbound delivery block OG;Outbound delivery block OG;ITEM00012
Outbound delivery block;Ausliefersperre;Bloqueo de suministro;Interdiction de livraison;Bloqueio de expedição;Blocco di fornitura;PARTNER00008
Outbound delivery line type;Auslieferungszeilentyp;Tipo de línea de suministro;Type de la ligne de distribution;Tipo de linha de expedição;Tipo di riga di consegna in uscita;OBDL00007 OBDLACK00009
Outbound delivery line;Auslieferungszeile;Línea de suministro;Ligne de distribution;Linha de expedição;Riga di consegna in uscita;OBDL2OBOLACK00005 OBDLACK00009 OBDLDETAILACK00008 OBDLDIFFCODEACK00005 OBDLEXTREFACK00006
Outbound delivery number;Auslieferungsnummer;Número de suministro;Numéro de distribution;Número de expedição;Numero della consegna in uscita;OBD00010 OBDACK00011 OBDEXTREF00006 OBDEXTREFACK00006 OBDL00007 OBDL2OBOLACK00005 OBDLACK00009 OBDLDETAILACK00008 OBDLDIFFCODEACK00005 OBDLEXTREF00006 OBDLEXTREFACK00006 OBDLOADAIDACK00004 OBDLTEXT00001 OBDLUACK00008 OBDLUDETAILACK00009 OBDPARTNER00008 OBDPARTNERACK00008 OBDTEXT00001 SHIPMENTLUACK00003 SHIPMENTLUDETAILACK00002
Outbound delivery partner role;Auslieferungspartnerrolle;Papel de socio de suministro;Rôle de partenaire de distribution;Papel de parceiro de expedição;Ruolo del partner della consegna in uscita;OBDPARTNER00008 OBDPARTNERACK00008 SHIPMENTLUACK00003
Outbound delivery type;Auslieferungstyp;Tipo de suministro;Type de distribution;Tipo de expedição;Tipo di consegna in uscita;OBD00010 OBDACK00011
Outbound delivery;Auslieferung;Suministro;Distribution;Expedição;Consegna in uscita;LAACCOUNTENTRYACK00001
Outbound order line type;WA-Auftragszeilentyp;Tipo de línea de orden EM;Type d'ordre SM;Tipo de linha de pedido de SM;Tipo di riga d'ordine UM;OBOL00007
Outbound order line;WA-Auftragszeile;Línea de orden EM;Ligne d'ordre de sortie de marchandises;Linha de pedido de SM;Riga d'ordine UM;OBDL2OBOLACK00005
Outbound order number;WA-Auftragsnummer;Número de orden EM;Numéro d'ordre de sortie;Número de pedido de SM;Numero dell'ordine UM;OBDL2OBOLACK00005 OBO00009 OBOACK00011 OBOEXTREF00006 OBOL00007 OBOLEXTREF00006 OBOLTEXT00001 OBOPARTNER00008 OBOTEXT00001 SHIPMENTLUOBOACK00001
Outbound order partner role;WA-Auftragspartnerrolle;Papel de socio de la orden EM;Rôle de partenaire de l'ordre de sortie de marchandises;Papel de parceiro de pedido de SM;Ruolo del partner dell'ordine di uscita merci;OBOPARTNER00008
Outbound order type;WA-Auftragstyp;Tipo de orden EM;Type d'ordre SM;Tipo de pedido de SM;Tipo di ordine UM;OBO00009 OBOACK00011
Outgoing goods area;Warenausgangsbereich;Zona de expedición de mercancías;Zone de sortie de marchandises;Área de saída de mercadorias;Area di uscita merci;CONSIGNMENT00007 CONSIGNMENTACK00012 OBD00010 OBDACK00011 SO00001
Over-delivery allowed IG;Over-delivery allowed IG;Over-delivery allowed IG;Over-delivery allowed IG;Over-delivery allowed IG;Over-delivery allowed IG;ITEM00012
Over-delivery allowed;Überlieferung erlaubt;Exceso de suministro permitido;Livraison excédentaire autorisée;Fornecimento excessivo permitido;Consegna in eccesso ammessa;PARTNER00008
Packaging version BQU / WQU;Packaging version BQU / WQU;Packaging version BQU / WQU;Packaging version BQU / WQU;Packaging version BQU / WQU;Packaging version BQU / WQU;INVDL00005 INVDLACK00006
Packaging version Item number;Packaging version Item number;Packaging version Item number;Packaging version Item number;Packaging version Item number;Packaging version Item number;INVDL00005 INVDLACK00006
Packaging version Variant;Packaging version Variant;Packaging version Variant;Packaging version Variant;Packaging version Variant;Packaging version Variant;INVDL00005 INVDLACK00006
Packing group;Verpackungsgruppe;Grupo de embalaje;Groupe d'emballage;Grupo de embalagem;Gruppo d'imballaggio;DANGGOODS00009 LOADLUDETAILACK00009 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002
Packing instructions;Verpackungsanweisungen;Instrucciones de embalaje;Instructions d'emballage;Instruções de embalagem;Istruzioni di imballaggio;DANGGOODS00009
Packing sequence;Packreihenfolge;Orden de empaquetado;Séquence d’emballage;Sequência de empacotamento;Sequenza di imballaggio;ITEM00012
Partner category;Partnergruppe;Categoría de socio;Groupe du partenaire;Categoria de parceiro;Gruppo di partner;PARTNER00008
Partner item description 2;Partnerartikelbezeichnung 2;Denominación de artículo del socio 2;Désignation d'article de partenaire 2;Descrição de item do parceiro 2;Descrizione dell'articolo del partner 2;PARTNERITEM00005
Partner item description;Partnerartikelbezeichnung;Denominación de artículo del socio;Désignation d'article partenaire;Descrição de item do parceiro;Descrizione dell'articolo del partner;PARTNERITEM00005
Partner item number;Partnerartikelnummer;Número de artículo del socio;Numéro d'article partenaire;Número de item do parceiro;Numero dell'articolo del partner;PARTNERITEM00005
Partner;Partner;Socio;Partenaire;Parceiro;Partner;ASO00001 ASOPARTNER00001 CONSIGNMENTADDRACK00008 FWCS_FFO00001 FWCS_PARTNER00001 IBDLOADAIDACK00004 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 LAACCOUNTENTRYACK00001 OBDLOADAIDACK00004 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNER00008 PARTNERADDR00007 PARTNERITEM00005 SHIPMENTLUACK00003
Password changed on;Passwort geändert am;Se ha cambiado la contraseña el;Mot de passe modifié le;Senha alterada em;Password modificata il;LOGIN00007
Password policy;Passwortrichtlinie;Password policy;Politique de mot de passe;Password policy;Password policy;LOGIN00007
Password;Passwort;Contraseña;Mot de passe;Senha;Password;LOGIN00007
Phone;Telefon;Teléfono;Téléphone;Telefone;Telefono;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Physical warehouse area;Physischer Lagerbereich;Zona de almacén física;Zone d'entrepôt physique;Área física de depósito;Area magazzino fisica;INVDL00005 INVDLACK00006
Picking area;Kommissionierbereich;Zona de picking;Zone de prélèvement;Área de separação de pedidos;Area di picking;FWCS_FFOPICKACK00001 FWCS_PICKINGLOCASSIGNMENT00001
Picking group;Kommissioniergruppe;Grupo de picking;Groupe de prélèvement;Grupo de separação de pedidos;Gruppo di picking;LOADLUACK00011 OBDL00007 OBOL00007
Picking location assignment;Kommissionierplatzzuordnung;Asignación de ubicaciones de picking;Affectation des postes de prélèvement;Atribuição do local de separação de pedidos;Assegnazione dei posti di picking;INVDL00005 INVDLACK00006
Picking state;Kommissionierstatus;Estado de picking;État de prélèvement;Estado de separação de pedidos;Stato di picking;OBDACK00011
Plan load Departure time;Plan load Departure time;Plan load Departure time;Plan load Departure time;Plan load Departure time;Plan load Departure time;OBD00010
Plan load Load template;Plan load Load template;Plan load Load template;Plan load Load template;Plan load Load template;Plan load Load template;OBD00010
Plan load Load;Plan load Load;Plan load Load;Plan load Load;Plan load Load;Plan load Load;OBD00010
Plan load Loading sequence;Plan load Loading sequence;Plan load Loading sequence;Plan load Loading sequence;Plan load Loading sequence;Plan load Loading sequence;OBD00010
Plan load System partner;Plan load System partner;Plan load System partner;Plan load System partner;Plan load System partner;Plan load System partner;OBD00010
Plan load Unloading sequence;Plan load Unloading sequence;Plan load Unloading sequence;Plan load Unloading sequence;Plan load Unloading sequence;Plan load Unloading sequence;OBD00010
Plan loading unit stage;Plan-Ladeeinheiten-Stufe;Etapa de unidad de transporte planificada;Stage d'unité de chargement de planification;Etapa do plano da unidade de transporte;Fase unità di carico pianificata;LOADLUACK00011
Planned # Lines;Planned # Lines;Planned # Lines;Planned # Lines;Planned # Lines;Planned # Lines;OBDACK00011
Planned # Picking plan LUs;Planned # Picking plan LUs;Planned # Picking plan LUs;Planned # Picking plan LUs;Planned # Picking plan LUs;Planned # Picking plan LUs;OBDACK00011
Planned # Primary lines;Planned # Primary lines;Planned # Primary lines;Planned # Primary lines;Planned # Primary lines;Planned # Primary lines;OBDACK00011
Planned # Shipment plan LUs;Planned # Shipment plan LUs;Planned # Shipment plan LUs;Planned # Shipment plan LUs;Planned # Shipment plan LUs;Planned # Shipment plan LUs;OBDACK00011
Planned # WQU;Planned # WQU;Planned # WQU;Planned # WQU;Planned # WQU;Planned # WQU;OBDACK00011
Planned # Whole plan LUs;Planned # Whole plan LUs;Planned # Whole plan LUs;Planned # Whole plan LUs;Planned # Whole plan LUs;Planned # Whole plan LUs;OBDACK00011
Planned Total dangerous goods points;Planned Total dangerous goods points;Planned Total dangerous goods points;Planned Total dangerous goods points;Planned Total dangerous goods points;Planned Total dangerous goods points;OBDACK00011
Planned Total gross weight unit;Planned Total gross weight unit;Planned Total gross weight unit;Planned Total gross weight unit;Planned Total gross weight unit;Planned Total gross weight unit;OBDACK00011
Planned Total gross weight;Planned Total gross weight;Planned Total gross weight;Planned Total gross weight;Planned Total gross weight;Planned Total gross weight;OBDACK00011
Planned Total volume unit;Planned Total volume unit;Planned Total volume unit;Planned Total volume unit;Planned Total volume unit;Planned Total volume unit;OBDACK00011
Planned Total volume;Planned Total volume;Planned Total volume;Planned Total volume;Planned Total volume;Planned Total volume;OBDACK00011
Planned quantity;Planmenge;Cantidad planificada;Quantité planifiée;Quantidade planejada;Quantità pianificata;ASOACK00001
Planning stage;Planungsstufe;Etapa de planificación;Phase de planification;Fase de planejamento;Fase di pianificazione;OBDACK00011
Posting key;Buchungsschlüssel;Código de registro;Clé de comptabilisation;Código de reserva;Chiave registrazione;STOCKADJ00008
Pre-registered LU;Vorerfasste LE;UT preregistrada;UC pré-enregistrée;UT pré-registrada;UdC pregregistrata...;IBDLUDETAILACK00009
Printing requested;Drucken angefordert;Printing requested;Impression demandée;Printing requested;Printing requested;FWCS_FFO00001
Priority;Priorität;Prioridad;Priorité;Prioridade;Priorità;CONSIGNMENT00007 CONSIGNMENTACK00012 IBD00008 IBDACK00012 IBO00008 IBOACK00008 INVD00007 OBD00010 OBDACK00011 OBO00009 OBOACK00011
Production date From;Production date From;Production date From;Production date From;Production date From;Production date From;INVDL00005 INVDLACK00006 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Production date To;Production date To;Production date To;Production date To;Production date To;Production date To;INVDL00005 INVDLACK00006 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Production date registration IG;Production date registration IG;Production date registration IG;Production date registration IG;Production date registration IG;Production date registration IG;ITEM00012
Production date registration OG;Production date registration OG;Production date registration OG;Production date registration OG;Production date registration OG;Production date registration OG;ITEM00012
Production date registration;Produktionsdatumsregistrierung;Registro de fecha de producción;Enregistrement de la date de production;Registro de data de fabricação;Registrazione della data di produzione;ITEM00012
Production date;Produktionsdatum;Fecha de producción;Date de production;Data de produção;Data di produzione;ADVISEDLULINE00009 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
Profile identifier;Profil-ID;Identificador del perfil;Identificateur de profil;Identificador de perfil;Identificazione profilo;SYSUSER00007
Quantity per kit;Menge pro Set;Cantidad por kit;Quantité par kit;Quantidade por kit;Quantità per ogni kit;ASOCOMPONENT00001 KITCOMPONENT00001
Quantity unit;Mengeneinheit;Unidad de medida;Unité de quantité;Unidade de quantidade;Unità quantitativa;FWCS_ITEMALIAS00001 ITEMALIAS00006 ITEMQTYUNIT00008
Quantity;Menge;Cantidad;Quantité;Quantidade;Quantità;ADVISEDLULINE00009 ASO00001 IBDLDETAILACK00006 IBDLDIFFCODEACK00005 IBDLUDETAILACK00009 IBOLDIFFCODEACK00005 LAACCOUNTENTRYACK00001 LOADLUDETAILACK00009 OBDLDETAILACK00008 OBDLDIFFCODEACK00005 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008
Reduction allowed;Reduktion erlaubt;Reducción permitida;Réduction autorisée;Redução permitida;Riduzione consentita;OBD00010 OBO00009 PARTNER00008
Reference number;Referenznummer;Reference number;Numéro de référence;Reference number;Reference number;FWCS_FFO00001 FWCS_FFOACK00001
Reference quantity unit;Referenzmengeneinheit;Unidad de medida de referencia;Unité de quantité de référence;Unidade de quantidade de referência;Unità quantitativa di riferimento;ITEMQTYUNIT00008
Region;Region;Región;Région;Região;Regione;CONSIGNMENTADDRACK00008 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Release state;Freigabestatus;Estado de aprobación;État de mise à disposition;Estado de liberação;Stato di approvazione;OBDACK00011 OBOACK00011
Release;Freigeben;Versión;Validation;Liberar;Approva;ASRS_RETRORDER00001
Released # Dangerous goods points;Released # Dangerous goods points;Released # Dangerous goods points;Released # Dangerous goods points;Released # Dangerous goods points;Released # Dangerous goods points;OBOACK00011
Released # Lines;Released # Lines;Released # Lines;Released # Lines;Released # Lines;Released # Lines;OBOACK00011
Released # Primary lines;Released # Primary lines;Released # Primary lines;Released # Primary lines;Released # Primary lines;Released # Primary lines;OBOACK00011
Released # WQU;Released # WQU;Released # WQU;Released # WQU;Released # WQU;Released # WQU;OBOACK00011
Released Total gross weight unit;Released Total gross weight unit;Released Total gross weight unit;Released Total gross weight unit;Released Total gross weight unit;Released Total gross weight unit;OBOACK00011
Released Total gross weight;Released Total gross weight;Released Total gross weight;Released Total gross weight;Released Total gross weight;Released Total gross weight;OBOACK00011
Released Total volume unit;Released Total volume unit;Released Total volume unit;Released Total volume unit;Released Total volume unit;Released Total volume unit;OBOACK00011
Released Total volume;Released Total volume;Released Total volume;Released Total volume;Released Total volume;Released Total volume;OBOACK00011
Released dual quantity;Freigegebene Dualmenge;Cantidad dual aprobada;Quantité duale validée;Quantidade dual liberada;Quantità duale approvata;IBDLACK00006
Released quantity;Freigabemenge;Cantidad aprobada;Quantité validée;Quantidade liberada;Quantità approvata;IBDLACK00006 IBOLACK00006 OBDLACK00009
Remaining shelf life OG;Remaining shelf life OG;Remaining shelf life OG;Remaining shelf life OG;Remaining shelf life OG;Remaining shelf life OG;ITEM00012
Remaining shelf life check during picking OG;Remaining shelf life check during picking OG;Remaining shelf life check during picking OG;Remaining shelf life check during picking OG;Remaining shelf life check during picking OG;Remaining shelf life check during picking OG;ITEM00012
Remaining shelf life unit OG;Remaining shelf life unit OG;Remaining shelf life unit OG;Remaining shelf life unit OG;Remaining shelf life unit OG;Remaining shelf life unit OG;ITEM00012
Remaining shelf life unit;Remaining shelf life unit;Remaining shelf life unit;Remaining shelf life unit;Remaining shelf life unit;Remaining shelf life unit;OBDL00007 OBDLACK00009 OBOL00007
Remaining shelf life;Resthaltbarkeit;Durabilidad restante;Durée de conservation restante;Vida de prateleira restante;Durata residua;OBDL00007 OBDLACK00009 OBOL00007
Replacement for line;Ersatz für Zeile;Sustitución para la línea;Remplaçant pour ligne;Substituição para a linha;Sostituzione per la riga;OBDLACK00009
Replacement goods owner;Ersatzwareneigentümer;Propietario de las mercancías de sustitución;Propriétaire de la marchandise de remplacement;Proprietário da mercadoria substituto;Proprietario della merce di sostituzione;OBDL00007 OBOL00007 PARTNER00008
Replacement item Item number;Replacement item Item number;Replacement item Item number;Replacement item Item number;Replacement item Item number;Replacement item Item number;REPLACEMENTITEM00005
Replacement item Variant;Replacement item Variant;Replacement item Variant;Replacement item Variant;Replacement item Variant;Replacement item Variant;REPLACEMENTITEM00005
Replacement item;Ersatzartikel;Artículo sustitutorio;Article de remplacement;Item substituto;Articolo di sostituzione;OBDL00007 OBOL00007 PARTNER00008
Replacement stock rating;Ersatzbestandsklassifizierung;Clasificación de existencias de sustitución;Classification de stock de remplacement;Classificação de estoque de reposição;Classificazione della scorta di sostituzione;OBDL00007 OBOL00007 PARTNER00008
Request number;Anforderungsnummer;Solicitar número;Numéro de demande;Número de solicitação;Numero richiesta;ASRS_LUREPORTREQ00001
Requested delivery date (from);Requested delivery date (von);Requested delivery date (desde);Requested delivery date (de);Requested delivery date (de);Requested delivery date (da);OBOL00007
Requested delivery date (to);Requested delivery date (bis);Requested delivery date (hasta);Requested delivery date (à);Requested delivery date (até);Requested delivery date (a);OBOL00007
Requested shipping category;Angeforderte Versandkategorie;Categoría de envío solicitada;Catégorie d'expédition demandée;Categoria de remessa solicitada;Categoria di spedizione richiesta;OBD00010 OBDACK00011 OBO00009 OBOACK00011
Requested shipping method;Angeforderte Versandart;Tipo de envío solicitado;Type d'expédition demandé;Tipo de envio solicitado;Tipo di spedizione richiesto;OBD00010 OBO00009 OBOACK00011
Required loading aid;Erforderliches Ladehilfsmittel;Medio auxiliar de transporte necesario;Auxiliaire de chargement requis;Meio auxiliar de transporte necessário;Base di carico necessaria;ITEM00012
Reservation number;Reservierungsnummer;Número de reserva;Numéro de réserv.;Número de reserva;Numero prenotazione;ADVISEDLULINE00009 IBDL00006 IBDLACK00006 IBDLDETAILACK00006 IBDLUDETAILACK00009 IBOL00007 IBOLACK00006 INVDL00005 INVDLACK00006 LOADLUDETAILACK00009 OBDL00007 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 OBOL00007 SHIPMENTLUDETAILACK00002 STOCKACK00009 STOCKADJ00008 STOCKBEGIN00009 STOCKEND00008 STOCKREQ00007
Retrieval order number;Auslagerauftragsnummer;Retrieval order number;Numéro d'ordre de sortie de stock;Retrieval order number;Retrieval order number;ASRS_RETRORDER00001
Reviewed;Geprüft;Revisado;Consulté;Revisado;Rivisto;LOAD00008 LOADACK00011
Role;Rolle;Función;Rôle;Papel;Ruolo;LOGIN2ROLE00005
Rounding by Rules;Nach Regeln runden;Redondeo según las normas;Arrondir par règles;Arredondamento segundo as regras;Regole di arrotondamento;OBD00010 OBO00009 PARTNER00008
SCP quantity unit;SCP Mengeneinheit;SCP quantity unit;Unité de quantité de SCP;SCP quantity unit;SCP quantity unit;ITEM00012
Sequence number;Reihenfolgenummer;Número de secuencia;Numéro d'ordre;Número Sequencial;Numero di sequenza;SOL00001
Sequence;Reihenfolge;Orden;Ordre séquentiel;Sequência;Sequenza;IBDLTEXT00001 IBDTEXT00001 IBOLTEXT00001 IBOTEXT00001 INVDLTEXT00001 INVDTEXT00001 LOADTRANSPORTVEHICLE00006 LOADTRANSPORTVEHICLEACK00006 OBDLTEXT00001 OBDTEXT00001 OBOLTEXT00001 OBOTEXT00001 REPLACEMENTITEM00005
Shipment plan LU;Versand-Plan-LE;UT planificada de envío;UC plan E;Plano de expedição da UT;Unità di carico pianificata per la spedizione;LOADLUACK00011
Shipping method;Versandart;Tipo de envío;Type d'expédition;Tipo de envio;Tipo di spedizione;LOAD00008 LOADACK00011 OBDACK00011
Shipping order line;Shipping order line;Shipping order line;Shipping order line;Shipping order line;Shipping order line;SOL00001
Shipping order number;Shipping order number;Shipping order number;Shipping order number;Shipping order number;Shipping order number;SO00001 SOL00001
Single instance;Einfachanmeldung;Instancia única;Instance singulière;Instância individual;Istanza singola;LOGIN00007
Special packing provisions;Sonderverpackungsvorschriften;Disposiciones especiales de envase/embalaje;Dispositions spéciales d'emballage;Disposições especiais de embalagem;Disposizioni speciali di imballaggio;DANGGOODS00009
Special provisions for ADR tanks;Sondervorschriften für ADR Tanks;Disposiciones especiales para cisternas ADR;Mises à disposition spéciales pour les citernes ADR;Disposições especiais para cisternas ADR;Disposizioni speciali relative alle cisterne ADR;DANGGOODS00009
Special provisions for carriage - Bulk;Sondervorschriften für die Beförderung – lose Schüttung;Disposiciones especiales relativas al transporte - Granel;Dispositions spéciales pour chariot - Vrac;Disposições especiais relativas ao transporte - Granel;Disposizioni speciali relative al trasporto - Rinfusa;DANGGOODS00009
Special provisions for carriage - Loading, unloading and handling;Sondervorschriften für die Beförderung – Be- und Entladung, Handhabung;Disposiciones especiales relativas al transporte - Carga, descarga y manipulación;Dispositions spéciales relatives au transport - chargement, déchargement et manipulation;Disposições especiais relativas ao transporte - carregamento, descarga e manuseio;Disposizioni speciali relative al trasporto - Carico, scarico e gestione;DANGGOODS00009
Special provisions for carriage - Operation;Sondervorschriften für die Beförderung - Betrieb;Disposiciones especiales relativas al transporte - Explotación;Dispositions spéciales pour chariot - Opération;Disposições especiais relativas ao transporte - Operação;Disposizioni speciali relative al trasporto - Esercizio;DANGGOODS00009
Special provisions for carriage - Packages;Sondervorschriften für die Beförderung - Versandstücke;Disposiciones especiales relativas al transporte - Bultos;Dispositions spéciales relatives au transport - Colis;Disposições especiais relativas ao transporte - Volumes;Disposizioni speciali relative al trasporto - Colli;DANGGOODS00009
Special provisions for portable tanks and bulk containers;Sondervorschriften für ortsbewegliche Tanks und Schüttgut-Container;Disposiciones especiales para cisternas portátiles y contenedores para granel;Dispositions spéciales pour citernes mobiles et conteneurs pour vrac;Disposições especiais para cisternas móveis e contentores para granel;Disposizioni speciali per cisterne mobili e container per il trasporto alla rinfusa;DANGGOODS00009
Special provisions;Sondervorschriften;Disposiciones especiales;Dispositions spéciales;Disposições especiais;Disposizioni speciali;DANGGOODS00009 LOADLUDETAILACK00009 OBDLACK00009 OBDLDETAILACK00008 OBDLUDETAILACK00009 SHIPMENTLUDETAILACK00002
Split allowed;Splitten erlaubt;División permitida;Fractionnement autorisé;Permitido desmembrar;Frammentazione consentita;CONSIGNMENTACK00012 OBD00010 OBO00009 PARTNER00008
Stacking category;Stapelkategorie;Categoría de apilado;Catégorie d'empilage;Categoria de empilhamento;Categoria di pila;ITEM00012
Stacking factor;Stapelfaktor;Factor de apilado;Facteur d'empilage;Fator de empilhamento;Fattore di pila;ITEMQTYUNIT00008
Staging area;Bereitstellfläche;Zona de disposición;Surface de mise à disposition;Área de disposição;Area di approntamento;ADVISEDLU00012 CONSIGNMENT00007 CONSIGNMENTACK00012 FWCS_FFO00001 IBD00008 OBD00010 OBDACK00011
Staging time;Bereitstelltermin;Hora de disposición;Date de mise à disposition;Prazo de disponibilização;Termine di approntamento;CONSIGNMENT00007 CONSIGNMENTACK00012 FWCS_FFO00001 OBD00010 OBDACK00011
Standard loading aid;Standard-Ladehilfsmittel;Medio auxiliar de transporte estándar;Auxiliaire de chargement standard;Meio auxiliar de transporte padrão;Base di carico standard;ITEM00012
Start time;Startzeit;Hora de inicio;Heure de démarrage;Hora de início;Ora di inizio;FWCS_FFOACK00001
State;Status;Estado;État;Estado;Stato;INSPMACK00001
Stock on storage location From;Stock on storage location From;Stock on storage location From;Stock on storage location From;Stock on storage location From;Stock on storage location From;INVDL00005 INVDLACK00006
Stock on storage location Quantity unit kind;Stock on storage location Quantity unit kind;Stock on storage location Quantity unit kind;Stock on storage location Quantity unit kind;Stock on storage location Quantity unit kind;Stock on storage location Quantity unit kind;INVDL00005 INVDLACK00006
Stock on storage location To;Stock on storage location To;Stock on storage location To;Stock on storage location To;Stock on storage location To;Stock on storage location To;INVDL00005 INVDLACK00006
Stock query attributes;Bestandsuchattribute;Atributos de la consulta de existencias;Attributs de recherche de stock;Atributos de consulta de estoque;Attributi della query della scorta;ASO00001
Stock rating;Bestandsklassifizierung;Clasificación de existencias;Classification de stock;Classificação de estoque;Classificazione della scorta;ASO00001
Storage attribute 1;Lagerattribut 1;Atributo de almacenamiento 1;Attribut d'entreposage 1;Atributo de incorporação 1;Attributo di stoccaggio 1;ASRS_ADVISEDLU00001 ASRS_LUATTRCHANGE00001
Storage attribute 2;Lagerattribut 2;Atributo de almacenamiento 2;Attribut d'entreposage 2;Atributo de incorporação 2;Attributo di stoccaggio 2;ASRS_ADVISEDLU00001 ASRS_LUATTRCHANGE00001
Storage attribute 3;Lagerattribut 3;Atributo de almacenamiento 3;Attribut d'entreposage 3;Atributo de incorporação 3;Attributo di stoccaggio 3;ASRS_ADVISEDLU00001 ASRS_LUATTRCHANGE00001
Storage compartment group number;Lagerfachgruppennummer;Número de grupo de compartimentos de almacenaje;Numéro du groupe de compartiment d’entreposage;Número de grupo de compartimentos de depósito;Numero gruppo di compartimenti;INVDL00005 INVDLACK00006
Storage compartment group segment;Lagerfachgruppensegment;Segmento del grupo de compartimentos de almacenaje;Segment du groupe de compartiment d’entreposage;Segmento de grupo de compartimentos de depósito;Segmento gruppo di compartimenti;INVDL00005 INVDLACK00006
Storage compartment;Lagerfach;Compartimento de almacenaje;Compartiment d'entreposage;Compartimento;Compartimento;INVDL00005 INVDLACK00006
Storage duration;Lagerdauer;Duración de almacenamiento;Durée d'entreposage;Duração de armazenamento;Durata di stoccaggio;ASRS_ADVISEDLU00001 ASRS_LUATTRCHANGE00001
Storage location;Lagerplatz;Ubicación;Emplacement;Local de depósito;Posto di stoccaggio;ADVISEDLU00012 CONSIGNMENT00007 CONSIGNMENTACK00012 FWCS_FFODEST00001 FWCS_FFODESTCANCEL00001 FWCS_FFOITEMLINE00001 FWCS_FFOPICKACK00001 FWCS_PICKINGLOCASSIGNMENT00001 IBD00008 INVDL00005 INVDLACK00006 OBD00010 OBDACK00011 STOCKACK00009 STOCKADJ00008
Strategic warehouse area;Strategischer Lagerbereich;Zona de almacén estratégica;Zone d'entrepôt stratégique;Área de depósito estratégica;Area di magazzino strategica;ITEMABCCLASSIFICATION00006
Street;Straße;Calle;Rue;Rua;Via;CONSIGNMENTADDRACK00008 FWCS_PARTNER00001 IBDPARTNER00008 IBDPARTNERACK00008 IBOPARTNER00008 IBOPARTNERACK00008 INVDPARTNER00007 OBDPARTNER00008 OBDPARTNERACK00008 OBOPARTNER00008 PARTNERADDR00007 SHIPMENTLUACK00003 SYSUSER00007
Superuser;Super-User;Superusuario;Superutilisateur;Super usuário;Superutente;LOGIN00007
Supplier;Lieferant;Proveedor;Fournisseur;Fornecedor;Fornitore;PARTNER00008
System partner Consignment;System partner Consignment;System partner Consignment;System partner Consignment;System partner Consignment;System partner Consignment;CONSIGNMENT00007 CONSIGNMENTACK00012 CONSIGNMENTADDRACK00008 LOADLU00005 LOADLUACK00011 LOADLUDETAILACK00009
System partner Load loading unit;System partner Load loading unit;System partner Load loading unit;System partner Load loading unit;System partner Load loading unit;System partner Load loading unit;LOADLU00005 LOADLUACK00011 LOADLUDETAILACK00009
System partner Load;System partner Load;System partner Load;System partner Load;System partner Load;System partner Load;CONSIGNMENT00007 CONSIGNMENTACK00012 CONSIGNMENTADDRACK00008 LOADTRANSPORTVEHICLEACK00006
